X	HV102_Abd	HV102_Eye	HV102_Leg	HV102_Meso	HV102_Ovi	HV102_Pro	HV102_Wing2	HV102_Wing3	HV3a_Abd	HV3a_Eye	HV3a_Leg	HV3a_Meso	HV3a_Ovi	HV3a_Pro	HV3a_Wing2	HV3a_Wing3	HV7_Abd	HV7_Leg	HV7_Meso	HV7_Pro	HV7_Wing2	id
HV102_Abd_TRINITY_DN19671_c0_g3	439	418	1001	796	1213	485	796	987	635	520	419	508	702	243	892	1202	418	249	69	139	171	HV102_Abd_TRINITY_DN19671_c0_g3
HV102_Wing2_TRINITY_DN28389_c0_g2	125.33	399.04	499.74	745.43	1105.38	388.74	921.76	1068.78	71.02	236.47	60.56	96.86	133.1	44.02	90.49	136.53	231.38	49.54	10.15	40.18	29.5	HV102_Wing2_TRINITY_DN28389_c0_g2
HV102_Wing3_TRINITY_DN30727_c1_g2	2554	1456.52	5355	3688.28	5317	3346.73	3780.11	6129.26	1371	1124.53	1693	5576.45	1989	2736.36	3637.21	8987.9	2861	3318.56	3845.62	5718.03	7407.08	HV102_Wing3_TRINITY_DN30727_c1_g2
HV102_Wing2_TRINITY_DN13447_c0_g1	49	526	13	6	16	9	34	28	15	924	23	8	31	20	31	35	22	4	0	2	2	HV102_Wing2_TRINITY_DN13447_c0_g1
HV102_Meso_TRINITY_DN19115_c0_g1	33	40	57	66	35	24	130	197	44	103	52	50	117	40	43	136	62	10	9	16	35	HV102_Meso_TRINITY_DN19115_c0_g1
HV102_Meso_TRINITY_DN6842_c0_g1	3.9	35.37	31.17	44.46	18.19	8.09	15.42	4.67	14.77	21.75	21.09	29	8.43	5.23	12.3	9.23	27.01	31.56	0	0	7.71	HV102_Meso_TRINITY_DN6842_c0_g1
HV102_Abd_TRINITY_DN16713_c0_g2	1116	493	1220	2138	2346	659	1221	1459	690	180	189	450	331	150	269	260	1412	360	177	152	509	HV102_Abd_TRINITY_DN16713_c0_g2
HV102_Abd_TRINITY_DN18119_c0_g1	3493	1315	5009	4544	5293	3071	4252	5290	5272	2073	2054	1976	3936	1664	3450	4818	3430	962	506	543	1696	HV102_Abd_TRINITY_DN18119_c0_g1
HV102_Eye_TRINITY_DN21802_c0_g2	12	131	26	43	5	8	16	12	11	210	34	12	16	16	8	11	1	1	0	1	1	HV102_Eye_TRINITY_DN21802_c0_g2
HV102_Eye_TRINITY_DN19399_c0_g1	82	214	2566	217	298	442	835	388	253	119	635	159	152	124	508	290	137	128	20	42	11	HV102_Eye_TRINITY_DN19399_c0_g1
HV102_Abd_TRINITY_DN20793_c0_g1	315	512	876	946	1521	592	982	1242	482	451	336	328	571	248	632	568	254	180	56	111	298	HV102_Abd_TRINITY_DN20793_c0_g1
HV102_Wing3_TRINITY_DN17379_c0_g2	0	2	0	0	1	0	5	18	0	4	0	1	2	0	2	2	0	0	0	2	1	HV102_Wing3_TRINITY_DN17379_c0_g2
HV102_Abd_TRINITY_DN17028_c0_g1	234.27	152.52	500.12	531.14	573.15	300.46	519.74	690.89	234.27	135.24	168.01	287.99	331.02	128.32	289.16	484.35	281.47	117.39	59.99	61.87	220.47	HV102_Abd_TRINITY_DN17028_c0_g1
