X	ECEF_Abd	ECEF_Eye	ECEF_Leg	ECEF_Meso	ECEF_Ovi	ECEF_Pro	ECEF_Wing2	ECEF_Wing3	ECFisC_Abd	ECFisC_Eye	ECFisC_Leg	ECFisC_Meso	ECFisC_Ovi	ECFisC_Pro	ECFisC_Wing2	ECFisC_Wing3	ECty4_Abd	ECty4_Eye	ECty4_Leg	ECty4_Meso	ECty4_Ovi	ECty4_Pro	ECty4_Wing2	ECty4_Wing3	id
ECEF_Leg_TRINITY_DN21006_c6_g1	755.58	1530.75	6448.48	1683.2	931.86	1841.74	4120.38	4096.91	156.57	78.17	306.92	744.06	1111.44	637.04	1233.8	1910.46	566.48	991.91	1486.92	1189.85	1353.32	223.07	1841.19	172.16	ECEF_Leg_TRINITY_DN21006_c6_g1
ECEF_Leg_TRINITY_DN16677_c0_g1	0	3.73	2.56	4.65	0	6.18	0	1.15	0	0	0	0	2.47	0.36	0.72	2	0	2.56	0.73	0.7	1	1	0	0	ECEF_Leg_TRINITY_DN16677_c0_g1
ECEF_Meso_TRINITY_DN28987_c0_g2	309.89	493.47	806.31	657.05	239.13	320.02	657.3	586.21	300.16	144.41	66.23	768.57	1114.52	478.36	733.16	1098.05	379.81	794.47	873.76	813.83	841.27	128.28	897.71	113.01	ECEF_Meso_TRINITY_DN28987_c0_g2
ECEF_Wing3_TRINITY_DN28640_c0_g1	18.26	51.68	33.91	33.6	19.05	3.81	55.3	8.76	18.69	16.23	12.01	96.97	111.39	72.11	98.94	97.27	46.89	34.53	46.72	74.84	69.47	2.67	54.34	5.86	ECEF_Wing3_TRINITY_DN28640_c0_g1
ECEF_Leg_TRINITY_DN18255_c0_g1	508	898	1187	1111	426	545	1115	994	666	149	77	1303	1734	931	1350	1775	438	690	629	729	1212	126	858	116	ECEF_Leg_TRINITY_DN18255_c0_g1
ECEF_Eye_TRINITY_DN5911_c0_g1	1	10	5	7	3	5	4	14	3	0	0	4	7	9	9	6	1	6	4	6	5	1	5	1	ECEF_Eye_TRINITY_DN5911_c0_g1
ECEF_Ovi_TRINITY_DN20951_c2_g1	1.39	5.89	10.87	9.61	8.56	4.61	6.62	7.06	6.52	5	1	10.17	9.95	8.89	11.1	21.71	3.64	9.08	10.56	18.21	20.56	4.04	20.2	0	ECEF_Ovi_TRINITY_DN20951_c2_g1
ECEF_Abd_TRINITY_DN17660_c0_g1	965	1057	1701	1751	808	1189	2492	1953	1071	288	177	2659	3611	2159	3092	3772	1348	2274	2238	3082	3773	533	4655	477	ECEF_Abd_TRINITY_DN17660_c0_g1
ECEF_Wing3_TRINITY_DN16564_c0_g2	7	12	6	11	15.66	5	17	33	15	4	1	26	24	20	33.45	30	7.97	10.99	4	16	26	4.78	17	5	ECEF_Wing3_TRINITY_DN16564_c0_g2
ECEF_Wing3_TRINITY_DN22684_c0_g1	4	2	4	5	2	0	4	12	0	1	0	1	1	2	1	1	0	0	1	0	2	0	1	1	ECEF_Wing3_TRINITY_DN22684_c0_g1
ECEF_Pro_TRINITY_DN18495_c0_g1	80.68	175.38	170.72	217.29	43.03	89.3	131.79	124.68	46.69	27.46	4.59	178.83	124.26	71.41	103.99	121.5	38.79	99.68	108.92	117.61	130.46	17.2	137.08	19.9	ECEF_Pro_TRINITY_DN18495_c0_g1
ECEF_Ovi_TRINITY_DN18258_c0_g1	153	206	230	320	67	213	497	229	129	36	30	367	359	285	323	424	180	196	302	363	330	117	454	28	ECEF_Ovi_TRINITY_DN18258_c0_g1
ECEF_Abd_TRINITY_DN21378_c0_g1	135	170	321	350	80	195	464	281	76	19	8	217	208	150	167	237	82	74	127	124	140	14	93	17	ECEF_Abd_TRINITY_DN21378_c0_g1
ECEF_Abd_TRINITY_DN22141_c2_g1	400	456	686	675	225	425	881	647	340	106	52	907	1228	742	1010	1331	341	479	573	790	965	139	985	65	ECEF_Abd_TRINITY_DN22141_c2_g1
ECEF_Eye_TRINITY_DN5364_c0_g1	2	6	7	8	0	1	0	5.57	4	3	0	5	7	6	5	9	2	9	8	9	16	3	23	4	ECEF_Eye_TRINITY_DN5364_c0_g1
ECEF_Abd_TRINITY_DN22708_c0_g1	445	426	693	741	355	953	2874	988	60	15	7	71	115	39	30	43	421	731	805	1276	1901	524	2058	211	ECEF_Abd_TRINITY_DN22708_c0_g1
ECEF_Leg_TRINITY_DN19435_c0_g3	61.12	117.86	207.12	114.62	108.82	65.8	126.88	145.95	173.73	43.7	26.17	260.81	355.35	215.41	292.86	413.7	89.22	121.47	118.18	201.52	270.65	28.16	238.07	63.94	ECEF_Leg_TRINITY_DN19435_c0_g3
ECEF_Abd_TRINITY_DN19864_c1_g2	204	233	352	298	96	154	301	282	147	33	17	192	237	126	221	265	234	350	355	378	430	59	630	41	ECEF_Abd_TRINITY_DN19864_c1_g2
ECEF_Abd_TRINITY_DN22177_c1_g6	331	289	515	394	167	303	628	397	235	48	36	392	558	356	484	567	367	411	571	510	571	138	792	124	ECEF_Abd_TRINITY_DN22177_c1_g6
ECEF_Eye_TRINITY_DN22255_c0_g1	504	707	757	1056	287	621	1274	865	621	152	91	1135	1686	1134	1600	1758	541	636	766	1009	1289	254	1546	101	ECEF_Eye_TRINITY_DN22255_c0_g1
ECEF_Eye_TRINITY_DN21440_c0_g1	70.57	64.73	85.79	32.78	84.5	70.92	190.62	122.02	94.35	22.31	7.75	136.18	217.6	172.09	198.22	279.1	54.21	73.24	60.9	77.74	170.08	43.21	133.73	19.43	ECEF_Eye_TRINITY_DN21440_c0_g1
ECEF_Ovi_TRINITY_DN15184_c0_g1	66.26	15.11	312.1	165.29	45.92	5.15	9.57	31.2	136.55	6	63.54	661.27	140.66	25.59	9.92	149.29	259.75	27.22	888.32	618.86	318.39	7.99	40.75	7.34	ECEF_Ovi_TRINITY_DN15184_c0_g1
ECEF_Abd_TRINITY_DN11901_c0_g1	13.52	10.05	12.38	4.2	4.18	0	3.12	0	14.32	1.07	0	0	5.73	5.03	0	0	10.26	13.82	7.22	5.99	4.58	3.07	0	0	ECEF_Abd_TRINITY_DN11901_c0_g1
ECEF_Meso_TRINITY_DN25485_c3_g1	17.09	15.27	9.21	29.87	10.2	7.4	16.57	5.4	15.97	2.68	1.36	12.4	21.15	15.11	9.29	24.83	11.21	15.33	19.58	12.08	26.85	0	32.83	0	ECEF_Meso_TRINITY_DN25485_c3_g1
